genomes	core_avg	core_sd	core_q1	core_q2	core_q3	pan_avg	pan_sd	pan_q1	pan_q2	pan_q3
1	1516.4	34.37004509742965	1491	1518	1524	1516.4	34.37004509742965	1491	1518	1524
2	1227.04	74.84102083750656	1150	1227	1284	1799.05	67.79754789076297	1743	1806	1849
3	1156.51	49.67524433759796	1119	1162	1195	2021.38	85.7182337662161	1961	2011	2093
4	1122.34	42.85235582788934	1082	1124	1156	2209.45	104.87834619214902	2130	2216	2294
5	1104.32	32.623880823718444	1075	1115	1123	2350.55	91.78729487243214	2293	2365	2400
6	1091.06	27.80533042422248	1066	1078	1117	2489.17	91.70649431746952	2418	2488	2560
7	1079.68	22.15395224332895	1064	1068	1110	2620.19	79.46794259322016	2551	2635	2687
8	1073.54	18.839012712986662	1061	1065	1068	2723.02	70.53722137991933	2693	2743	2781
9	1068.59	15.660201148141603	1061	1061	1068	2818.77	61.88115302739275	2783	2841	2873
10	1061.0	0.0	1061	1061	1061	2918.0	0.0	2918	2918	2918
