genomes	core_avg	core_sd	core_q1	core_q2	core_q3	pan_avg	pan_sd	pan_q1	pan_q2	pan_q3
1	1799.86	130.8146031603514	1701	1747	1831	1799.86	130.8146031603514	1701	1747	1831
2	1571.86	69.84855331358374	1516	1554	1635	2022.16	184.66931093172875	1895	1979	2213
3	1511.75	59.533582959536844	1474	1501	1517	2176.58	209.85924711577704	2030	2148	2371
4	1481.11	45.95299663786911	1452	1474	1497	2344.97	229.4016327317679	2175	2372	2516
5	1462.68	36.07211665538365	1443	1462	1483	2453.88	231.71103901195315	2290	2436	2637
6	1446.76	26.591773163898374	1428	1444	1465	2567.48	231.0823870397743	2432	2563	2720
7	1436.15	27.18395666564739	1416	1435	1456	2662.7	242.80862834751403	2472	2664	2839
8	1426.97	26.944927166350386	1409	1424	1447	2753.24	241.8722439636289	2602	2758	2913
9	1421.58	26.544747126320168	1404	1420	1433	2835.5	249.92580899138878	2659	2867	3014
10	1414.87	26.84721773294409	1402	1414	1432	2913.77	243.12782049777834	2750	2941	3053
11	1409.36	26.714984559239948	1393	1411	1424	2976.51	236.62225148958024	2852	3007	3114
12	1403.78	25.66576708380362	1389	1407	1418	3032.72	240.86963611049174	2892	3067	3162
13	1399.38	26.078642602705596	1382	1401	1415	3094.05	236.2665602661481	2940	3115	3252
14	1394.33	24.662544475377732	1377	1399	1412	3153.79	218.61940879071244	2974	3146	3293
15	1389.58	25.00647116248119	1369	1392	1411	3203.83	224.92007713852706	3040	3189	3362
16	1385.17	25.220251783037718	1362	1387	1408	3257.15	222.80858937661847	3102	3241	3399
17	1380.41	25.51434694441111	1360	1382	1400	3313.16	230.67898560554002	3128	3309	3482
18	1375.83	25.45232995229105	1357	1378	1396	3366.42	230.6822134452517	3205	3365	3548
19	1372.04	25.66356171695651	1352	1374	1393	3409.03	242.97347406661302	3225	3396	3594
20	1367.69	25.307980954629407	1350	1371	1387	3455.11	250.7122611680541	3237	3447	3657
21	1362.18	24.64888638457564	1346	1364	1380	3519.39	243.1327577682629	3335	3523	3703
22	1358.9	24.476723636954958	1343	1358	1374	3568.85	248.59655568812798	3387	3582	3755
23	1355.33	24.607338336363107	1338	1353	1373	3614.27	249.4777286653058	3420	3626	3808
24	1351.99	24.503671153520482	1335	1350	1370	3668.55	258.5734470126411	3469	3685	3831
25	1349.05	24.895130045855847	1330	1349	1368	3718.56	260.9488961463539	3520	3742	3919
26	1346.23	24.82170622660569	1329	1346	1366	3771.86	262.82260252877796	3566	3822	3952
27	1343.38	23.585919528393156	1326	1342	1363	3815.31	258.8462746496452	3614	3861	4010
28	1340.35	24.360367402816888	1322	1339	1359	3863.98	260.49905873150215	3677	3900	4056
29	1336.51	23.4510106392004	1319	1334	1354	3910.78	252.8463794480717	3742	3946	4100
30	1334.0	23.502340309001195	1315	1332	1350	3953.48	260.7817662337604	3765	3989	4137
31	1331.87	23.53408379351988	1314	1331	1349	3994.65	266.98937712950067	3806	4020	4165
32	1329.23	23.855336929078963	1311	1328	1347	4027.95	261.3399079742726	3848	4044	4192
33	1324.78	22.84932384119773	1308	1320	1340	4071.05	254.59958267836925	3914	4081	4221
34	1321.89	22.764399838334885	1305	1318	1338	4112.06	256.69709075094164	3925	4150	4288
35	1319.52	22.866779397192744	1304	1315	1336	4147.11	257.1844044649786	3948	4174	4339
36	1317.18	22.173578872157996	1301	1314	1332	4180.07	248.41313391204295	4000	4189	4381
37	1314.97	21.220016493865792	1300	1313	1330	4223.33	239.39315173998176	4014	4241	4428
38	1312.51	22.48265776103682	1297	1311	1329	4260.32	249.35520367540684	4053	4280	4455
39	1310.15	22.451447614795093	1296	1308	1325	4296.25	246.44591191577618	4109	4306	4479
40	1308.32	22.556098953501397	1292	1305	1324	4325.45	244.5085018971785	4132	4332	4507
41	1306.26	22.52315253244799	1292	1304	1317	4354.94	241.69662058043764	4163	4392	4534
42	1303.66	22.29763216128365	1288	1301	1316	4395.03	236.6184884999523	4253	4413	4558
43	1301.78	21.66729332427214	1285	1300	1315	4423.64	237.57708306988837	4273	4437	4586
44	1299.91	21.42106206517085	1284	1297	1313	4455.7	237.66962363752228	4313	4480	4630
45	1298.24	21.485399693745354	1281	1295	1312	4483.83	238.91948664769802	4365	4499	4656
46	1296.18	21.53479974366806	1281	1293	1308	4518.45	237.25755520109553	4384	4534	4701
47	1294.8	21.748563170936897	1280	1291	1307	4544.61	226.87092784225018	4408	4559	4704
48	1291.94	20.851772106942747	1277	1288	1303	4581.55	220.0590091316445	4455	4604	4742
49	1290.13	20.910597791541573	1273	1287	1302	4620.15	216.77852176819107	4511	4635	4786
50	1287.76	19.643380564454368	1273	1285	1299	4661.65	205.49843673371774	4549	4680	4815
51	1286.31	19.323402909432318	1271	1283	1298	4686.08	201.2701011079479	4568	4691	4840
52	1284.82	18.313590581867043	1270	1282	1298	4723.07	199.7734344201011	4600	4742	4883
53	1282.54	18.018557100946854	1269	1278	1294	4755.8	200.507555967353	4615	4782	4921
54	1280.47	17.4404443750742	1267	1278	1290	4790.67	195.92003751530913	4648	4805	4964
55	1279.35	16.900517743553802	1267	1278	1288	4821.44	190.08678649502303	4666	4844	4994
56	1277.48	16.395413992937296	1265	1276	1288	4849.17	189.72743897496744	4719	4868	5018
57	1275.69	15.540717486651108	1264	1274	1287	4878.26	179.33285365486012	4760	4905	5024
58	1273.84	14.88873399588207	1263	1271	1282	4911.63	164.09501241658256	4783	4939	5044
59	1270.95	13.658239271585105	1261	1269	1278	4958.31	141.07775834622174	4869	4977	5082
60	1269.36	13.215536311484248	1259	1268	1276	4982.34	139.8024477611132	4902	5008	5102
61	1267.61	12.424890341576297	1258	1266	1276	5007.05	139.0231905115039	4915	5043	5118
62	1266.04	12.545054802592338	1255	1264	1274	5032.65	141.19287340373128	4947	5071	5141
63	1264.27	11.384950592784698	1254	1263	1271	5067.72	131.7613812920764	5008	5107	5156
64	1261.61	10.92235780408032	1252	1260	1268	5100.7	125.80623990884115	5047	5142	5183
65	1260.26	10.032566969625513	1251	1259	1267	5131.39	112.93908933578463	5097	5162	5202
66	1258.84	9.509700310755152	1251	1258	1266	5157.18	110.14711798316478	5147	5187	5219
67	1257.31	9.037361340584173	1249	1255	1265	5179.95	97.3098530468692	5162	5204	5246
68	1254.78	7.3737100566780445	1249	1252	1259	5207.61	87.32031779604078	5194	5241	5267
69	1253.95	7.074425771740744	1249	1251	1258	5233.29	71.620429348055	5220	5256	5278
70	1252.27	6.324326051053731	1248	1249	1255	5257.16	66.38956544518328	5257	5278	5296
71	1250.32	4.360917334732487	1248	1248	1250	5282.75	43.65830390658121	5281	5298	5306
