genomes	core_avg	core_sd	core_q1	core_q2	core_q3	pan_avg	pan_sd	pan_q1	pan_q2	pan_q3
1	1797.67	93.84221384856531	1725	1792	1869	1797.67	93.84221384856531	1725	1792	1869
2	1554.78	50.30896142835622	1524	1551	1585	2036.66	138.5222884592925	1936	2025	2106
3	1504.13	40.06411237004689	1477	1504	1531	2199.06	152.1445247125262	2101	2170	2290
4	1475.9	34.978707809176946	1458	1473	1503	2345.73	163.6599434803746	2237	2317	2439
5	1455.98	32.67567290814276	1440	1457	1479	2467.72	168.2652120909153	2333	2460	2578
6	1439.71	34.59083549149651	1418	1443	1459	2582.26	180.98213281978687	2445	2552	2688
7	1427.53	32.092508471605434	1408	1432	1448	2687.78	179.4518642979194	2554	2675	2804
8	1417.47	31.576400998213273	1399	1421	1439	2776.19	180.4893179664646	2649	2771	2885
9	1408.1	31.124106412882416	1391	1413	1429	2868.9	189.4687573189818	2730	2866	2992
10	1401.61	29.946584112384528	1388	1407	1423	2949.12	199.1611046364234	2792	2946	3068
11	1393.62	28.93571495574776	1378	1397	1413	3038.35	200.34132748886094	2883	3038	3149
12	1388.03	29.12231275156562	1375	1389	1407	3108.19	207.13482058794227	2948	3084	3223
13	1381.08	30.118326646749043	1365	1384	1401	3180.91	209.85414434792628	3021	3172	3322
14	1374.82	30.755610870214152	1359	1378	1398	3257.63	217.8075597861545	3103	3252	3419
15	1368.84	31.14794375235953	1347	1374	1393	3324.53	230.41516681850214	3187	3302	3458
16	1364.43	31.388614177750966	1341	1368	1389	3385.92	231.2346288945467	3247	3365	3528
17	1360.73	32.02837960309371	1337	1367	1381	3438.63	230.71574090208597	3281	3410	3566
18	1356.72	31.45157547723213	1335	1364	1380	3507.97	221.98632638070578	3362	3511	3663
19	1352.44	31.148778467218083	1333	1356	1374	3571.27	227.52955214652988	3429	3582	3725
20	1349.5	31.33959157359785	1329	1355	1372	3626.98	223.58604518171825	3478	3618	3778
21	1346.24	31.597822709801374	1324	1353	1367	3677.86	229.54258951227345	3529	3677	3823
22	1343.35	32.080952292602426	1318	1350	1365	3729.47	234.28015088778008	3565	3731	3877
23	1340.34	31.628853915374442	1318	1346	1362	3777.6	224.96688645220573	3616	3771	3926
24	1337.21	30.756233514524066	1316	1344	1358	3832.14	231.33465023640534	3667	3834	3986
25	1333.49	30.674254677169472	1314	1341	1353	3887.1	231.68649075852255	3708	3875	4030
26	1330.22	29.559966170479296	1311	1331	1350	3943.18	226.34232392550885	3813	3912	4091
27	1325.93	30.23350955479324	1304	1328	1346	4005.64	230.98703513401128	3842	3983	4149
28	1323.02	30.62155450006006	1303	1325	1346	4063.24	236.23103606427966	3906	4018	4222
29	1320.6	30.469000639996423	1302	1322	1345	4108.89	239.30248201804696	3921	4091	4259
30	1317.8	30.27176902660499	1300	1318	1342	4154.18	241.65017608104284	3995	4137	4304
31	1315.95	30.074366161234853	1296	1317	1340	4195.39	243.8529841933438	4023	4187	4365
32	1312.79	30.42738733444024	1293	1315	1337	4246.51	252.52344425814834	4071	4268	4458
33	1310.91	30.81723381486003	1293	1313	1336	4290.37	247.8701940532645	4103	4316	4480
34	1306.96	31.958385441070202	1284	1309	1333	4341.75	256.2546536162839	4149	4349	4522
35	1303.74	30.96727950595359	1282	1304	1329	4387.67	253.64849910850774	4201	4378	4578
36	1300.61	30.858028128839987	1281	1301	1325	4434.17	261.5928536867938	4258	4428	4610
37	1297.82	30.494386368642264	1278	1298	1324	4485.04	263.02463458771996	4295	4500	4669
38	1295.85	30.025780589359126	1276	1297	1323	4526.91	263.0372253123131	4330	4588	4714
39	1292.7	29.126791790375385	1272	1293	1317	4571.92	265.68145136610553	4399	4612	4749
40	1290.24	29.511733259837946	1271	1291	1316	4618.25	267.1478757168036	4452	4656	4806
41	1288.74	29.588382855439836	1270	1288	1313	4654.27	270.72457793853215	4493	4671	4849
42	1286.5	29.33240528834786	1268	1287	1308	4692.61	269.56805801133606	4529	4709	4887
43	1283.91	28.648593333701218	1265	1286	1303	4731.04	269.1350189031504	4550	4747	4925
44	1281.64	28.599832167335173	1258	1284	1299	4769.74	265.69857432812864	4581	4782	4952
45	1280.25	28.765387186686873	1258	1283	1299	4808.64	269.5849966151601	4609	4842	4973
46	1278.73	28.91914763612284	1256	1280	1298	4844.59	272.4332980749616	4646	4883	5009
47	1277.54	28.698229910575332	1256	1279	1298	4881.38	273.89015243341686	4689	4915	5068
48	1275.2	29.07782660378899	1251	1278	1295	4923.02	276.4390341467646	4729	4941	5095
49	1273.22	28.816516097543325	1248	1277	1291	4966.36	284.2524061463733	4784	4989	5146
50	1271.37	28.36887555051062	1247	1274	1290	5004.13	287.39936169030926	4815	5016	5201
51	1269.79	28.436348218435167	1246	1271	1290	5041.67	290.2195050302433	4845	5053	5211
52	1267.0	28.413377131204683	1244	1269	1288	5082.0	299.4966443885446	4874	5090	5257
53	1265.15	27.980484270286304	1241	1267	1287	5123.91	305.76452034204357	4907	5142	5319
54	1263.72	27.298380904364944	1241	1267	1284	5159.87	302.0028362449618	4953	5188	5361
55	1261.67	26.51605362794121	1239	1263	1283	5195.33	296.435930851848	4980	5216	5385
56	1259.82	25.951639639916966	1237	1263	1280	5230.59	297.17560784828635	5011	5261	5433
57	1258.41	26.31657082523966	1235	1260	1276	5266.25	304.82350221070504	5049	5286	5453
58	1256.51	25.79670327774737	1234	1260	1275	5299.31	302.25187162364534	5081	5309	5488
59	1255.17	25.947660780883297	1232	1259	1274	5339.12	292.8284576334781	5131	5343	5519
60	1253.17	25.878583809778206	1231	1257	1273	5372.02	292.26960088246057	5155	5354	5536
61	1251.48	25.946282970782995	1229	1256	1271	5406.13	293.27450127823937	5173	5409	5592
62	1250.43	25.464192506338712	1229	1255	1270	5438.11	297.73947991491855	5221	5444	5643
63	1249.22	24.958597717019497	1226	1254	1269	5474.77	300.235436116385	5251	5473	5680
64	1247.06	24.621056029347077	1224	1252	1264	5514.75	306.43033058103015	5277	5513	5719
65	1245.42	24.201727211083043	1224	1248	1263	5561.53	302.67105758562866	5314	5551	5771
66	1244.51	24.223746613601588	1224	1247	1262	5590.28	304.47900026111097	5359	5589	5797
67	1243.0	23.699789028595482	1224	1246	1259	5627.99	294.5880002647798	5407	5622	5845
68	1241.57	23.61535729139237	1221	1244	1258	5663.6	298.27799114248137	5461	5652	5872
69	1239.85	23.945511061578667	1220	1243	1257	5693.55	305.11500700554984	5486	5687	5892
70	1238.77	24.162307422923607	1219	1242	1257	5726.19	304.89331560400944	5511	5699	5941
71	1237.17	23.783210464525002	1219	1240	1256	5763.57	299.9622727944362	5534	5739	5969
72	1235.23	23.283837742089133	1218	1238	1252	5801.36	293.0809280727876	5586	5768	6019
73	1233.37	23.12343183872727	1215	1236	1251	5843.19	303.450084692692	5613	5800	6048
74	1232.25	22.605032625502812	1214	1234	1251	5873.71	297.53195777932984	5654	5835	6090
75	1230.97	22.342987714271665	1213	1231	1250	5904.69	296.26004438669133	5678	5919	6123
76	1229.6	22.24454989430665	1209	1230	1248	5933.92	298.6366246795586	5698	5940	6138
77	1228.55	22.179889539856642	1208	1229	1246	5967.77	303.8791488404473	5740	5990	6188
78	1227.71	22.055971980394606	1207	1226	1245	6001.47	306.7861944416591	5754	6010	6222
79	1227.12	22.090848784061375	1207	1225	1244	6030.26	305.23442204311254	5784	6031	6241
80	1225.32	21.797192479772036	1206	1223	1243	6070.65	292.2240022653977	5840	6063	6279
81	1224.36	22.140695562706412	1206	1223	1243	6101.49	289.9259386464115	5863	6112	6289
82	1223.31	22.236769099851244	1205	1221	1243	6126.75	288.48866095568343	5881	6133	6310
83	1222.12	22.075452430252277	1205	1219	1239	6158.0	291.4016472156631	5922	6148	6367
84	1220.91	21.61901709143874	1204	1219	1238	6191.09	291.9353385597647	5961	6182	6398
85	1218.82	20.978264942559065	1204	1217	1236	6225.96	289.69383562650853	6008	6202	6427
86	1217.83	20.910789081237546	1203	1216	1235	6257.64	288.8735197279178	6034	6223	6466
87	1216.03	21.414226579547464	1200	1215	1233	6293.13	293.88578240533235	6057	6273	6505
88	1215.19	21.05359589238604	1200	1214	1232	6321.28	290.9654989857029	6103	6290	6534
89	1213.98	20.87150210215098	1199	1214	1228	6350.26	292.8059295847649	6126	6330	6554
90	1213.19	20.416020670051008	1199	1212	1228	6377.62	285.2473936778358	6151	6389	6573
91	1212.32	20.461612839657914	1199	1211	1226	6406.27	280.1513824702506	6204	6405	6600
92	1211.45	20.21156846956874	1198	1211	1226	6438.58	281.10753031535626	6231	6432	6642
93	1210.49	19.777509954487293	1197	1211	1224	6470.21	287.8373254114263	6258	6466	6701
94	1209.71	19.66178781291426	1195	1209	1222	6501.59	287.57684520837205	6288	6504	6744
95	1208.92	19.551306861689277	1194	1209	1222	6528.54	285.20986729074525	6348	6555	6755
96	1208.25	19.960147795043305	1194	1208	1222	6554.49	283.48377360971256	6379	6580	6782
97	1207.49	19.65375027825958	1192	1207	1222	6582.06	281.34639930163615	6419	6600	6811
98	1206.73	19.51094820863332	1192	1207	1220	6609.29	280.47307517835577	6439	6623	6821
99	1205.5	19.34502520029326	1190	1206	1220	6642.88	277.47177442038344	6452	6640	6843
100	1204.14	19.19792697141046	1190	1204	1217	6669.89	274.4943677017766	6487	6672	6867
101	1203.58	19.045828939696	1189	1204	1216	6696.51	272.7571262130493	6512	6722	6896
102	1202.76	19.101371678494285	1187	1204	1215	6718.27	273.11612383745745	6546	6742	6911
