Completeness	Contamination	Quality	Genome
94.6	1.8	85.6	A40_Bin_003
94.6	1.8	85.6	B33_Bin_003
94.6	1.8	85.6	D10_Bin_003
94.6	2.7	81.1	D11_Bin_002
94.6	1.8	85.6	D15_Bin_002
94.6	6.3	63.1	G1_Bin_002
94.6	1.8	85.6	G51_Bin_002
94.6	0.9	90.1	GCF_000011365_1_ASM1136v1_genomic
94.6	2.7	81.1	GCF_000015165_1_ASM1516v1_genomic
94.6	1.8	85.6	GCF_000026145_1_ASM2614v1_genomic
94.6	0.9	90.1	GCF_000284275_1_ASM28427v1_genomic
94.6	0.9	90.1	GCF_000284375_1_ASM28437v1_genomic
94.6	2.7	81.1	GCF_000296215_2_ASM29621v2_genomic
94.6	0.9	90.1	GCF_000344805_1_ASM34480v1_genomic
94.6	0.9	90.1	GCF_000807315_1_ASM80731v1_genomic
93.7	0.9	89.2	GCF_001549695_1_ASM154969v1_genomic
94.6	1.8	85.6	GCF_001642675_1_ASM164267v1_genomic
94.6	1.8	85.6	GCF_001693385_1_ASM169338v1_genomic
94.6	2.7	81.1	GCF_001693515_2_ASM169351v2_genomic
94.6	2.7	81.1	GCF_001887695_1_ASM188769v1_genomic
94.6	0.9	90.1	GCF_001908315_1_ASM190831v1_genomic
94.6	1.8	85.6	GCF_002266435_2_ASM226643v2_genomic
94.6	0.9	90.1	GCF_002266465_2_ASM226646v2_genomic
94.6	0.9	90.1	GCF_002278135_2_ASM227813v2_genomic
94.6	1.8	85.6	GCF_002831585_1_ASM283158v1_genomic
94.6	0.9	90.1	GCF_003183845_2_ASM318384v2_genomic
94.6	0.9	90.1	GCF_004114915_1_ASM411491v1_genomic
94.6	1.8	85.6	GCF_004114935_1_ASM411493v1_genomic
94.6	1.8	85.6	GCF_004114955_1_ASM411495v1_genomic
94.6	0.9	90.1	GCF_004114975_1_ASM411497v1_genomic
94.6	0.9	90.1	GCF_004359355_1_ASM435935v1_genomic
94.6	1.8	85.6	GCF_005937885_2_ASM593788v2_genomic
94.6	1.8	85.6	GCF_005937905_2_ASM593790v2_genomic
94.6	0.9	90.1	GCF_006459165_1_ASM645916v1_genomic
94.6	0.9	90.1	GCF_007290395_1_ASM729039v1_genomic
93.7	1.8	84.7	GCF_008932115_1_ASM893211v1_genomic
94.6	0.9	90.1	GCF_009176665_1_ASM917666v1_genomic
94.6	0.9	90.1	GCF_009176685_1_ASM917668v1_genomic
94.6	1.8	85.6	GCF_009930815_1_ASM993081v1_genomic
93.7	2.7	80.2	GCF_009931255_1_ASM993125v1_genomic
94.6	1.8	85.6	GCF_011058295_1_ASM1105829v1_genomic
94.6	0.9	90.1	GCF_011602485_1_ASM1160248v1_genomic
94.6	0.9	90.1	GCF_011604625_1_ASM1160462v1_genomic
94.6	0.9	90.1	GCF_011604645_1_ASM1160464v1_genomic
94.6	0.9	90.1	GCF_011604665_1_ASM1160466v1_genomic
95.5	3.6	77.5	GCF_012871055_1_ASM1287105v1_genomic
94.6	0.9	90.1	GCF_013390305_1_ASM1339030v1_genomic
94.6	0.9	90.1	GCF_013752735_1_ASM1375273v1_genomic
94.6	0.9	90.1	GCF_014163415_1_ASM1416341v1_genomic
94.6	0.9	90.1	GCF_014163435_1_ASM1416343v1_genomic
94.6	0.9	90.1	GCF_014163455_1_ASM1416345v1_genomic
94.6	0.9	90.1	GCF_014163475_1_ASM1416347v1_genomic
94.6	12.6	31.6	GCF_900011245_1_BF49_v1_genomic
94.6	0.9	90.1	GCF_900176205_1_BRAD285_PRJEB202261_v1_genomic
95.5	1.8	86.5	GCF_900324035_1_BRAD3257_genomic
94.6	1.8	85.6	H25_Bin_002
94.6	2.7	81.1	H31_Bin_004
64.0	0.9	59.5	JIAJIAN16_Bin_002
94.6	1.8	85.6	L66_Bin_002
94.6	1.8	85.6	L66_Bin_003
94.6	5.4	67.6	M12_Bin_003
94.6	1.8	85.6	R23_Bin_002
94.6	2.7	81.1	R24_Bin_003
73.0	2.7	59.5	R33_Bin_003
36.0	0.9	31.5	R33_Bin_004
70.3	1.8	61.3	R9_Bin_002
94.6	1.8	85.6	S5_Bin_003
94.6	1.8	85.6	T4_Bin_002
88.3	1.8	79.3	V23_Bin_004
89.2	3.6	71.2	V3_Bin_004
93.7	9.0	48.7	Y16_Bin_003
64.0	0.9	59.5	Y16_Bin_005
94.6	1.8	85.6	Y26_Bin_002
